ID,Y,X
4100356,37.5719125,127.0161974
4100080,37.5888525,126.9939785
4100210,37.5802142,126.9651641
4100108,37.5776219,126.9841236
4100140,37.569383,126.9851516
4100531,37.5804398,126.9693946
4100192,37.571524,126.9645539
4100453,37.5777327,127.0094399
4100132,37.5740733,126.9653224
4100519,37.6099331,126.9645601
3100021,37.5685425,126.9903912
4100392,37.5754673,127.0164075
4100392,37.575807,127.0163786
4100542,37.5908581,127.0000771
4100382,37.5777176,127.01396
4100060,37.5717392,126.9929997
4100503,37.613574,126.9736908
4100232,37.5746231,127.0067351
4100078,37.5881903,126.9950288
4100416,37.5841796,127.0007312
4100369,37.5756151,127.0191274
4100474,37.5758543,127.0070399
4100179,37.5885056,126.9961965
4100110,37.5792044,126.9859539
3100012,37.5821242,126.9711895
4100071,37.5850667,127.0058701
4100025,37.5732818,127.0078743
4100027,37.5720005,127.0209987
4100014,37.5824232,126.9867394
4100236,37.5775861,126.9826641
4100548,37.5871648,127.0003534
4100252,37.5717987,126.9857418
4100223,37.5771037,127.007062
4100114,37.580551,126.9863422
4100141,37.5695865,126.9867446
4100180,37.5998027,126.9620071
4100303,37.5789915,126.9721611
4100513,37.6143331,126.9786127
4100186,37.6039469,126.960348
4100055,37.5700636,126.9935362
4100488,37.6071981,126.9669056
4100429,37.5789506,127.0095521
4100507,37.6135974,126.9766434
4100103,37.5823068,126.9826976
4100374,37.5717728,126.9819669
4100188,37.6048392,126.9601417
4100146,37.5747233,126.9892038
4100219,37.5748977,127.0034143
4100163,37.5710872,126.99367
4100477,37.5735893,126.9594619
3005007,37.5774066,127.0150912
3005008,37.5825395,126.9984458
4100477,37.5739952,126.9589607
4100093,37.5968174,126.9667075
4100420,37.5798561,126.9881679
4100008,37.5734542,126.9660281
4100414,37.584086,126.9985011
4100553,37.6020641,126.9537346
4100531,37.5812586,126.9687798
2100002,37.5837154,126.9676316
4100271,37.5771206,126.9717739
4100406,37.574966,126.9980759
4100301,37.5777156,126.9727908
4100477,37.5743466,126.9586596
4100525,37.5786934,126.9696747
4100086,37.5902064,126.9948777
4100060,37.5712661,126.9933307
4100464,37.5920049,126.9630996
4100289,37.5908351,126.9681825
4100217,37.576756,127.0000579
4100519,37.6057421,126.965113
4100381,37.5780828,127.016951
4100338,37.5719993,127.006536
3100013,37.5707265,127.0064156
4100494,37.6050347,126.9641623
3100013,37.5713221,127.0057009
3005008,37.5844576,126.9997577
4100404,37.5744219,126.9987324
4100102,37.5816842,126.9843823
4100211,37.5809378,126.9645236
4100212,37.5819325,126.9650472
4100478,37.5749135,126.9619872
4100396,37.6056404,126.9565378
4100478,37.5756132,126.9620374
4100478,37.5760465,126.9620111
3100002,37.5847418,127.0012159
4100498,37.6102566,126.9699381
4100122,37.6148901,126.9553898
4100122,37.6169038,126.953458
4100122,37.6161652,126.9546191
3005008,37.5826272,126.9979846
4100216,37.5738998,126.9918484
4100192,37.569261,126.9659377
4100554,37.6020116,126.9565701
4100128,37.5741721,126.9629867
4100260,37.574141,126.9634164
4100453,37.573487,127.0103439
4100263,37.5801403,126.9707194
4100192,37.5718271,126.9635255
3100008,37.5877378,126.997169
4100503,37.6121963,126.9728713
4100360,37.5718945,126.9805996
4100471,37.57541,127.0079826
4100459,37.5919953,126.9653347
4100558,37.5790178,126.9732672
4100147,37.5756676,126.9899762
4100453,37.5766874,127.0106701
4100548,37.5883142,127.0016172
4100339,37.5731788,127.0055685
4100339,37.5728598,127.0048471
4100235,37.5727169,127.0071239
4100050,37.573387,126.9911542
4100078,37.5880194,126.9952753
4100021,37.5734672,127.0099394
4100021,37.5733443,127.0094645
4100453,37.5751358,127.0107312
4100447,37.5758947,127.0119008
4100079,37.589383,126.9961299
4100217,37.5766294,126.9995756
4100032,37.5831504,127.0000482
4100235,37.5723902,127.0070877
4100135,37.5748037,126.9728362
4100458,37.5902651,126.9691885
4100503,37.6128807,126.9718354
4100037,37.5721608,127.0003106
3005008,37.5739452,126.9972125
4100434,37.5727158,127.0099729
4100012,37.5823755,126.9874849
4100126,37.5730538,126.9627787
4100406,37.5748492,126.9989552
4100099,37.5785852,127.022138
4100122,37.6141784,126.9562603
4100273,37.5767807,126.9712043
4100453,37.5759026,127.0099451
4100457,37.5941958,126.9646595
4100499,37.6080484,126.9765817
4100446,37.575752,127.0114028
4100367,37.5746282,127.0172598
4100048,37.5730186,126.992824
4100223,37.5765136,127.0058631
4100342,37.5709137,127.0118572
4100415,37.5850155,126.9989285
4100122,37.6140616,126.9552384
4100397,37.6072129,126.9563056
4100015,37.5810107,127.0054374
4100205,37.5809378,126.9673052
4100471,37.5752767,127.0080931
3100020,37.6081775,126.9560297
4100487,37.6100231,126.9667856
2100001,37.5691356,126.9881876
4100548,37.5892032,127.0013051
4100353,37.5711331,127.0136954
4100299,37.5781356,126.9706563
4100301,37.5777508,126.9730916
3100010,37.5741362,127.0062522
4100050,37.57483,126.9905758
4100216,37.5750495,126.9914295
3100019,37.6020571,126.9784375
4100102,37.5829306,126.9841977
4100378,37.5771689,127.0139004
4100171,37.5906131,126.9978146
3100021,37.5689567,126.9973736
4100224,37.5781314,126.9810008
4100194,37.5693074,126.9903896
4100018,37.5789061,127.0071206
4100113,37.5843036,126.9825347
4100006,37.5733587,126.9672702
4100001,37.5681492,126.9651727
3100004,37.579557,126.9843064
4100192,37.569091,126.9658478
4100224,37.5780099,126.981381
4100090,37.5944378,126.9680791
4100207,37.5805038,126.9662808
4100347,37.570402,127.0133538
4100034,37.5821016,127.0006807
4100428,37.578763,126.9886647
4100060,37.5717971,126.9933259
4100341,37.5705201,127.013888
4100001,37.5686186,126.9649676
4100014,37.5803394,126.9870854
4100170,37.5887717,126.9987819
4100069,37.5821596,127.0050376
4100134,37.5746709,126.9656943
4100095,37.5762404,127.022636
4100540,37.5897014,127.0007014
4100386,37.57958,127.013847
4100277,37.5837031,126.9693757
4100212,37.5818576,126.9647254
4100212,37.580919,126.9672728
4100281,37.5857982,126.9718968
4100283,37.5854948,126.9706214
4100454,37.5937112,126.9648101
4100557,37.58279,126.9723547
4100504,37.610915,126.9756597
3005008,37.5754221,126.9972085
4100088,37.5907808,126.9936702
4100426,37.5837134,126.9888441
4100404,37.5741025,126.9987863
4100519,37.6123609,126.9684138
4100359,37.5722921,127.0182313
4100377,37.5760794,127.0164356
4100080,37.5888112,126.9939385
4100262,37.5791472,126.9720624
4100477,37.5738226,126.9595141
4100183,37.6015843,126.9627697
4100205,37.5812825,126.9675935
4100300,37.5777569,126.9710987
4100205,37.5808294,126.9679203
4100295,37.5991657,126.9626536
4100524,37.5777924,126.9684148
4100526,37.5784375,126.9683987
4100272,37.5763889,126.9708851
3100008,37.5881223,126.9972064
4100466,37.5928719,126.9633966
4100121,37.6140966,126.9538571
4100466,37.5925061,126.9624245
3100012,37.5967694,126.9642497
3100012,37.5763786,126.9722593
4100014,37.5812523,126.986645
4100185,37.6019289,126.9592069
4100186,37.6025304,126.9607188
4100075,37.5811078,127.0044021
4100038,37.5717429,127.0056892
4100519,37.6150837,126.9761111
3100023,37.6074457,126.9728514
4100490,37.6091989,126.9664955
3100004,37.5855481,126.9855632
4100511,37.6157662,126.9783425
3100023,37.6065883,126.9719
4100154,37.583504,126.9808141
4100243,37.577873,127.0078882
4100304,37.5793981,126.9710074
3100021,37.5698462,127.0053079
4100444,37.575133,127.0141807
4100322,37.5701443,127.0013999
3100021,37.5694117,126.9966802
4100143,37.5733369,126.9886375
4100473,37.5765571,127.0070348
4100020,37.5807263,127.0061625
4100077,37.5906604,126.992174
4100077,37.5911589,126.9925885
4100416,37.5839163,127.0008482
4100216,37.5740137,126.9918036
4100080,37.5895619,126.9924994
4100178,37.5873337,126.9953931
4100240,37.5763365,126.990908
4100260,37.5735485,126.9635039
4100272,37.5773697,126.9698066
4100544,37.5868348,126.9983382
4100411,37.5817649,126.9998815
4100428,37.5796059,126.9890639
2100002,37.5803943,126.9683261
3100009,37.5735418,126.9830914
4100289,37.5901011,126.9683179
4100453,37.5731884,127.0103477
4100042,37.5790577,127.0016269
4100296,37.5984908,126.9607142
4100265,37.5803647,126.9705477
4100124,37.5751825,126.9714094
4100453,37.5771649,127.0093765
3100008,37.5839201,126.9973484
3100007,37.5808876,126.9804007
4100119,37.613688,126.9593774
4100264,37.5801382,126.9719201
4100016,37.5807652,127.0059703
4100453,37.5792402,127.0092397
4100238,37.5767685,126.9849541
4100017,37.5799945,127.0064098
4100333,37.5716461,126.9794337
4100466,37.5926637,126.9630105
4100107,37.5858271,126.9840806
4100375,37.5694346,126.9840049
2100001,37.5741906,126.9878833
4100519,37.6160953,126.9762491
4100453,37.5753973,127.0109972
4100519,37.6132889,126.9786434
4100357,37.5735886,127.0167875
4100510,37.6072668,126.9637714
4100095,37.5766038,127.0225483
4100400,37.5699053,126.9970688
4100005,37.5730195,126.970791
3100004,37.5826661,126.9852683
4100004,37.5709177,126.9712129
4100453,37.5773163,127.009355
4100056,37.5716951,126.991511
3005005,37.6009096,126.9609135
4100066,37.5733857,126.9962772
4100264,37.5798347,126.972418
4100262,37.5792938,126.9720238
4100163,37.575582,126.9913071
4100335,37.5703791,127.0067355
4100285,37.5866192,126.9660375
4100207,37.5803752,126.965608
