"","road_ID","Y","X"
"1860",3101011,37.5649426,127.0144999
"1907",3101011,37.5662425,127.017528
"1926",3101011,37.5658868,127.0188579
"1982",3101011,37.5641562,127.0080061
"2085",3101011,37.5659188,127.0206843
"2453",3101011,37.5641004,127.0089377
"2851",3101011,37.5617782,126.9975589
"2884",3101011,37.5606996,126.9952076
"2957",3101011,37.5619181,126.9952954
"3035",3101011,37.5616174,126.996501
"3082",3101011,37.562083,126.9964912
"3361",3101011,37.5616437,126.9951116
"3370",3101011,37.5652402,127.0190719
"3450",3101011,37.5628992,126.9999252
"3544",3101011,37.5623238,126.997301
"3634",3101011,37.564587,127.008337
"3671",3101011,37.5607914,126.9981223
"3677",3101011,37.5650836,127.0098986
"3736",3101011,37.5647087,127.0145746
"3787",3101011,37.5616136,126.997766
"3931",3101011,37.5608544,126.9953077
"3943",3101011,37.5652455,127.0217975
"3964",3101011,37.5657022,127.0223378
"3984",3101011,37.5642685,127.0054637
"4000",3101011,37.5587831,126.978825
"4069",3101011,37.5635473,127.0054724
"4125",3101011,37.5612567,126.9962921
"4192",3101011,37.5658607,127.0184489
"4212",3101011,37.5645959,127.0106572
"4250",3101011,37.5659044,127.0191955
"4285",3101011,37.5659631,127.0171215
"4309",3101011,37.5648309,127.0101154
"4591",3101011,37.561585,126.9898015
"4655",3101011,37.5614552,126.9876108
"4657",3101011,37.560701,126.9916923
"4722",3101011,37.565399,127.0204382
"4820",3101011,37.562224,126.9968747
"4961",3101011,37.5659067,127.0224035
"5123",3101011,37.5635877,127.0055549
"5165",3101011,37.5609927,126.9950876
"5519",3101011,37.5654873,127.0200254
"5603",3101011,37.5622178,126.9995626
"5609",3101011,37.5639513,127.009114
"5730",3101011,37.5608824,126.989855
"5864",3101011,37.5613894,126.9867363
"5870",3101011,37.563319,127.0049829
"5925",3101011,37.5634828,127.0050914
"5995",3101011,37.562367,126.9967765
"6171",3101011,37.564613,127.0080188
"6342",3101011,37.5614999,126.9882053
"6429",3101011,37.5620512,126.9991434
"66400",3101011,37.5646738,127.0091854
"66584",3101011,37.5650472,127.0097832
"66642",3101011,37.5611995,126.995616
"66675",3101011,37.5653795,127.0192714
"66741",3101011,37.5578724,126.9780649
"67095",3101011,37.5659833,127.0173429
"67227",3101011,37.5617211,126.9978537
"1308",3005001,37.5703223,127.0019911
"2320",3005001,37.5579856,127.0073797
"2381",3005001,37.5595012,127.0031824
"2425",3005001,37.5592191,127.0034684
"2583",3005001,37.5552577,127.0096948
"3015",3005001,37.5586463,127.0049957
"3214",3005001,37.5592747,127.0048373
"3408",3005001,37.5580624,127.0075861
"3452",3005001,37.5604254,127.0032253
"3481",3005001,37.56299,127.0032565
"3678",3005001,37.5628303,127.0029821
"4049",3005001,37.5703651,127.0014402
"4263",3005001,37.5532832,127.0121482
"4366",3005001,37.5592614,127.0044882
"4480",3005001,37.5692353,127.0023685
"4507",3005001,37.5628835,127.0029176
"4624",3005001,37.5545781,127.0113059
"4789",3005001,37.5625278,127.0019401
"5991",3005001,37.5661032,127.0029945
"6332",3005001,37.5602836,127.0080122
"6336",3005001,37.5685844,127.0018668
"10462",3005001,37.5457897,127.0161404
"11403",3005001,37.5493655,127.0116262
"66652",3005001,37.5547453,127.0097993
"2299",3101021,37.5610693,127.0062648
"3078",3101021,37.565401,127.0070269
"3321",3101021,37.5611517,127.0063445
