"","loc","go","ex"
"191","경기도 군포시 오금동",4062,601
"192","경기도 안산시 단원구 호수동",4029,977
"193","경기도 용인시 기흥구 구갈동",3996,2914
"194","경기도 고양시 일산동구 마두1동",3978,2235
"195","경기도 부천시 오정구 고강1동",3968,613
"196","경기도 안양시 동안구 호계2동",3956,975
"197","경기도 시흥시 정왕 2동",3955,337
"198","경기도 김포시 고촌읍",3931,1654
"199","경기도 광명시 하안3동",3927,392
"200","경기도 성남시 분당구 금곡동",3924,3175
"201","경기도 하남시 덕풍2동",3899,116
"202","경기도 안산시 단원구 고잔2동",3881,1843
"203","경기도 안산시 상록구 부곡동",3872,319
"204","경기도 용인시 기흥구 마북동",3864,1039
"205","경기도 김포시 사우동",3842,1767
"206","경기도 고양시 일산동구 정발산동",3833,730
"207","경기도 용인시 수지구 성복동",3829,344
"208","경기도 평택시 신평동",3818,3681
"209","경기도 수원시 팔달구 우만2동",3792,1035
"210","경기도 군포시 산본2동",3770,141
"211","경기도 의왕시 고천동",3743,3167
"212","경기도 성남시 중원구 금광1동",3739,1192
"213","경기도 화성시 반월동",3731,716
"214","경기도 안산시 단원구 고잔1동",3730,1937
"215","경기도 오산시 중앙동",3702,841
"216","경기도 고양시 일산동구 풍산동",3682,94
"217","경기도 안양시 동안구 평안동",3679,1930
"218","경기도 수원시 팔달구 행궁동",3676,5061
"219","경기도 의정부시 송산1동",3667,872
"220","경기도 시흥시 정왕 3동",3662,358
"221","경기도 안양시 동안구 범계동",3657,5056
"222","경기도 고양시 일산서구 주엽1동",3646,1684
"223","경기도 광명시 광명4동",3631,2155
"224","경기도 수원시 팔달구 매교동",3629,1495
"225","경기도 광명시 하안2동",3597,132
"226","경기도 광명시 철산2동",3573,322
"227","경기도 고양시 일산서구 탄현동",3567,54
"228","경기도 평택시 중앙동",3549,502
"229","경기도 부천시 원미구 중동",3547,147
"230","경기도 성남시 분당구 삼평동",3543,9458
"231","경기도 광명시 하안4동",3539,71
"232","경기도 용인시 처인구 모현면",3512,328
"233","경기도 군포시 광정동",3487,1147
"234","경기도 수원시 영통구 매탄1동",3469,3082
"235","경기도 안양시 동안구 귀인동",3436,457
"236","경기도 부천시 소사구 심곡본동",3430,3999
"237","경기도 수원시 장안구 연무동",3424,252
"238","경기도 김포시 통진읍",3349,558
"239","경기도 부천시 원미구 역곡1동",3338,334
