"","PARKING_CODE","PARKING_NAME","ADDR","CAPACITY","PAY_NM","LAT","LNG","RATES","TIME_RATE","ADD_RATES","ADD_TIME_RATE"
"37","1514905","동서울 호텔길(A) 공영주차장(자양동)(구)","광진구 구의동 695-0","34","유료","37.53340526","127.09174691","250","5","250","5"
"38","1514758","동서울 호텔길(A) 공영주차장(자양동)(구)","광진구 자양동 695-0","7","유료","37.53374588","127.09153881","250","5","250","5"
"39","1512113","동서울 호텔길(A) 공영주차장(자양동)(구)","광진구 자양동 695-0","41","유료","37.53000399","127.08853568","250","5","250","5"
"80","1514885","동서울길 공영주차장(B)(구)","광진구 구의동 735-0","34","유료","37.53226446","127.09185983","250","5","250","5"
"994","1514763","동서울길 공영주차장(B)(구)","광진구 자양동 695-0","19","유료","37.53315717","127.09157781","250","5","250","5"
"106","1515336","동서울길(A) 공영주차장(구)","광진구 구의동 695-0","8","유료","37.5342433","127.09157381","250","5","250","5"
"114","1514902","동서울길(A) 공영주차장(구)","광진구 자양동 695-0","7","유료","37.53331763","127.09156374","250","5","250","5"
"120","1514904","동서울길(A) 공영주차장(자양동)(구)","광진구 구의동 695-0","34","유료","37.53361535","127.09173295","250","5","250","5"
"124","1545232","동아빌딩앞 노상주차장(구)","영등포구 여의도동 14-0","10","유료","37.52907804","126.92057486","1000","10","1000","10"
"134","172384","동원시장공영주차장(구)","중랑구 면목동 74-33","26","유료","37.58987969","127.09314874","100","5","100","5"
"135","1452343","동일상가아파트 이륜전용주차장(구)","종로구 숭인동 234-81","8","무료","37.57150169","127.01927402","0","0","0","0"
"143","1056834","동작주차공원(구)","동작구 동작동 326-0","147","유료","37.50309257","126.97826859","100","5","100","5"
"144","171924","동화동공영주차장(구)","중구 신당동 52-7","129","유료","37.56137409","127.01900035","150","5","150","5"
"145","1524803","두산공원A~B(구)","금천구 가산동 153-18","19","유료","37.47366303","126.89264075","500","10","500","10"
"164","1524605","두산공원A~B(구)","금천구 독산동 298-1","14","유료","37.47307961","126.89401448","500","10","500","10"
"178","172696","등나무근린공원(구)","노원구 중계동 508-1","151","유료","37.64027756","127.06769919","250","5","250","5"
"179","172957","등촌 2-1주택가공영주차장(구)","강서구 등촌동 531-5","91","유료","37.54982067","126.86134372","50","5","50","5"
"180","1504286","등촌3동 구암길(구)","강서구 등촌동 695-0","52","유료","37.56004193","126.84535093","250","5","250","5"
"232","1504253","등촌3동 꿈나무길(구)","강서구 등촌동 701-0","59","유료","37.56054971","126.8468555","250","5","250","5"
"291","1536462","뚝도시장(구)","성동구 성수동2가 335-60","17","유료","37.5380749","127.05460166","500","10","500","10"
"308","1438232","뚝섬안내센터앞(한강공원)(시)","광진구 자양동 435-0","356","유료","37.5286166","127.07222676","1000","30","100","5"
"309","1438091","뚝섬윈드서핑장옆(한강공원)(시)","광진구 자양동 558-3","99","유료","37.52772418","127.07910406","1000","30","200","10"
"310","1438220","뚝섬청담대교밑(한강공원)(시)","광진구 자양동 97-5","136","유료","37.5310785","127.06461833","1000","30","200","10"
"311","1577123","라온드베뉴(구)","중랑구 망우동 207-2","200","유료","37.60007938","127.10435413","100","5","100","5"
"312","1543331","렉싱턴호텔뒤 노상주차장(구)","영등포구 여의도동 13-0","12","유료","37.52980408","126.92176408","1000","10","1000","10"
"324","1451636","롯데캐슬 뒤 이륜전용주차장(구)","종로구 숭인동 76-1","8","무료","37.57420786","127.01653897","0","0","0","0"
"332","1561632","롯데캐슬앞 노상주차장(구)","영등포구 여의도동 36-0","9","유료","37.52064199","126.92663091","1000","10","1000","10"
"341","1012254","마들스타디움(근린공원)(구)","노원구 상계동 770-2","177","유료","37.64391748","127.05856743","150","5","150","5"
"342","1577091","마른내길 이륜자동차주차장(구)","중구 오장동 148-21 0","6","무료","37.56452251","127.00015298","0","0","0","0"
"348","172480","마을공원(구)","성북구 장위동 77-79","98","유료","37.61717024","127.05335506","150","5","150","5"
"349","172918","마을마당주차장(구)","양천구 신월동 129-6","114","유료","37.53065845","126.83321825","50","5","50","5"
"350","1423842","마장 축산물시장 서문(구)","성동구 마장동 522-1","130","유료","37.5704876","127.03832741","250","5","250","5"
"3511","1535433","마장동거주자우선주차장(구)","성동구 마장동 783-7","124","유료","37.56631207","127.04489477","250","5","250","5"
"4381","1052741","마장동축산물(평면)(구)","성동구 마장동 525-0","35","유료","37.57156287","127.03953148","250","5","250","5"
"439","1535927","마장축산물시장 남문(구)","성동구 마장동 805-0","175","유료","37.56753561","127.03994092","250","5","250","5"
"614","1537854","마장축산물시장 현대아파트 앞 노상공영주차(구)","성동구 마장동 84-0","59","유료","37.57052454","127.04241228","250","5","250","5"
"673","173692","마천동1 공영주차장(구)","송파구 마천동 214-0","217","유료","37.49512534","127.1556049","50","5","50","5"
"674","173821","마천동2공영주차장(구)","송파구 마천동 364-5","116","유료","37.49436437","127.1561092","50","5","50","5"
"675","1372128","마천동3공영주차장(구)","송파구 마천동 128-4","47","유료","37.49615427","127.14984862","100","5","100","5"
